Resturant Name,Cuisine,Rating,Reviews,Cost for Two,Locality,Delivery Time,Type
Bholej Rock And Rolls,"Rolls, Fast Food",4.0,417,400,College Road,20-25 mins,Dine-In Restaurant
Maharashtra Darbar House of Biryani,Biryani,4.1,8.3K,460,College Road,25-30 mins,Dine-In Restaurant
La Pino'z Pizza,Pizza,3.5,4.1K,600,College Road,25-30 mins,Dine-In Restaurant
"Faasos - Wraps,Rolls & Shawarma","Wraps,Rolls,Shawarma",4.0,6.2K,400,College Road,30-35 mins,Cloud Kitchen
Burger King,Burger,4.0,33.8K,300,College Road,25-30 mins,Dine-In Restaurant
Truth Bowl ,"Healthy Food, Rice Bowls,North Indian",3.8,307,700,College Road,35-40 mins,Cloud Kitchen
Lunchbox - Meals & Thalis,"North Indian, Thali,Home- Style Meals",3.9,4.4K,700,College Road,30-35 mins,Cloud Kitchen
Hakka Tikka,North Indian,3.8,2.3K,700,College Road,30-35 mins,Dine-In Restaurant
Saanjh - Bon Vivant,"Continental,Chinese,North Indian",3.8,1.6K,600,College Road,30-35 mins,Dine-In Restaurant
Desi Swaad,"Street Food,South Indian,Chinese",4.1,784,500,College Road,35-40 mins,Dine-In Restaurant
M2H Shawarma,"Shawarma,Momos,North Indian",3.6,2.5K,700,College Road,40-45 mins,Cloud Kitchen
Viju's Dabeli,"Street Food,Fast Food,Beverages",4.1,10.8K,300,College Road,40-45 mins,Dine-In Restaurant
Shree Khodiyar Kathiyawadi Dhaba,"Kathiyawadi,North Indian,Street Food",4.0,653,300,College Road,45-50 mins,Dine-In Restaurant
Dhaba & Co,North Indian,3.5,156,300,College Road,45-50 mins,Cloud Kitchen
Big Tawa,"North Indian,Street Food",4.1,2.6K,500,College Road,45-50 mins,Cloud Kitchen
Curry Leaves,"Chinese,Fast Food",4.0,4.3K,500,College Road,40-45 mins,Dine-In Restaurant
The Good Bowl,"North Indian,Biryani,Mughlai",4.0,2.7K,500,College Road,40-45 mins,Cloud Kitchen
Thakur Ji,"North Indian,Gujarati",3.9,3.8K,400,College Road,25-30 mins,Dine-In Restaurant
Renuka Dosa Point,South Indian,4.2,9.6K,200,College Road,30-35 mins,Dine-In Restaurant
Thalaiva Biryani,Biryani,3.6,212,600,College Road,25-30 mins,Cloud Kitchen
Luscious Layers,"Chinese,Cake,Italian",4.2,9.1K,700,College Road,25-30 mins,Dine-In Restaurant
Hotel Durga," Street Food,Fast Food,Beverages",4.4,3.3K,400,College Road,25-30 mins,Dine-In Restaurant
Anna Idli,"South Indian,Sandwich,Desserts",4.2,5.3K,500,College Road,25-30 mins,Dine-In Restaurant
Veggie Grill,"Street Food, Rolls,Momos",3.9,1.6K,500,College Road,15-20 mins,Unknown
Marathmol Parcel Point,"North Indian,BBQ,Chinese",3.9,2.7K,300,College Road,20-25 mins,Unknown
Pizza Hut ,"Pizza, Fast Food, Desserts",4.0,8.5K,500,College Road,25-30 mins,Dine-In Restaurant
Subway,"Healthy Food,Fast Food,Sandwich",4.0,3.8K,600,College Road,25-30 mins,Dine-In Restaurant
Kaka ka Dhaba ,"Maharashtrian,Chinese,Desserts",4.0,2.1K,700,College Road,20-25 mins,Dine-In Restaurant
Larive Kitchen and Cocktail,"Ice Cream,Desserts,Shake",4.5,14.6K,300,College Road,30-35 mins,Dine-In Restaurant
Puran Varan,"Maharashtrian,Pizza,Fast Food",4.5,1.4K,250,College Road,20-25 mins,Dine-In Restaurant